Order ID,Date,Month,Quarter,Region,City,Sales Executive,Product Category,Product Name,Units Sold,Selling Price,Revenue,Cost,Profit,Profit Margin %,Customer Type,Sales Channel,Target Sales,Achievement %,Growth %,Order Status,Discount %,Rating
ORD-10001,2025-09-17,Sep,Q3,South,Chennai,Ananya Iyer,Accessories,Wireless Mouse,6,2110,12660,5580,7080,0.5592417061611374,Existing,Offline,14100,0.8978723404255319,0.08970616847575623,Completed,0,3.8
ORD-10002,2025-12-16,Dec,Q4,West,Ahmedabad,Kabir Shah,Office,Standing Desk,10,19600,196000,139000,57000,0.29081632653061223,Existing,Offline,186300,1.0520665593129361,0.1603603134901413,Completed,0.08,4.8
ORD-10003,2025-04-30,Apr,Q2,South,Bengaluru,Ananya Iyer,Electronics,Tablet Plus,14,25050,350700,257600,93100,0.2654690618762475,Existing,Online,388300,0.9031676538758692,-0.0032324456881897695,Completed,0.03,5.0
ORD-10004,2025-12-06,Dec,Q4,North,Jaipur,Arjun Malhotra,Office,Ergonomic Chair,4,12310,49240,30400,18840,0.3826157595450853,Existing,Online,46900,1.0498933901918976,0.12269810202373942,Completed,0,4.3
ORD-10005,2025-03-10,Mar,Q1,East,Bhubaneswar,Riya Das,Office,Laser Printer,12,19990,239880,151200,88680,0.3696848424212106,Existing,Online,240800,0.9961794019933555,0.04688268212716458,Completed,0,4.5
ORD-10006,2025-01-18,Jan,Q1,South,Bengaluru,Vikram Rao,Electronics,Tablet Plus,16,25950,415200,294400,120800,0.2909441233140655,New,Offline,407100,1.0198968312453942,0.08096206515288383,Completed,0,4.9
ORD-10007,2025-09-17,Sep,Q3,North,Delhi,Neha Verma,Accessories,Keyboard,14,3700,51800,24640,27160,0.5243243243243243,Existing,Online,48700,1.0636550308008215,0.16558137591683542,Completed,0.08,3.7
ORD-10008,2025-02-08,Feb,Q1,West,Pune,Kabir Shah,Home,Vacuum Cleaner,7,11780,82460,49700,32760,0.39728353140916806,Existing,Offline,78200,1.0544757033248082,-0.060282769608224346,Completed,0,4.5
ORD-10009,2025-04-19,Apr,Q2,West,Mumbai,Meera Patel,Home,Vacuum Cleaner,4,11160,44640,28400,16240,0.36379928315412186,Existing,Online,50800,0.878740157480315,0.05755332994809438,Completed,0.03,3.6
ORD-10010,2025-04-19,Apr,Q2,North,Lucknow,Neha Verma,Office,Standing Desk,7,21590,151130,97300,53830,0.3561834182491894,Existing,Offline,172300,0.8771329077190946,-0.012931725063700272,Completed,0,4.5
ORD-10011,2025-09-08,Sep,Q3,East,Kolkata,Aarav Sen,Office,Ergonomic Chair,15,12370,185550,114000,71550,0.3856103476151981,New,Offline,208200,0.8912103746397695,-0.037962779154901816,Completed,0.05,4.1
ORD-10012,2025-06-04,Jun,Q2,North,Lucknow,Neha Verma,Office,Ergonomic Chair,9,12350,111150,68400,42750,0.38461538461538464,Existing,Online,102100,1.0886385896180215,-0.07943022697318246,Completed,0,4.3
ORD-10013,2025-09-17,Sep,Q3,South,Hyderabad,Vikram Rao,Home,Microwave,6,13480,80880,49500,31380,0.3879821958456973,Existing,Offline,81900,0.9875457875457876,-0.06496737426099923,Completed,0,3.6
ORD-10014,2025-08-05,Aug,Q3,East,Kolkata,Riya Das,Home,Microwave,3,13780,41340,24750,16590,0.40130624092888245,Existing,Online,38600,1.0709844559585493,-0.04700007894859744,Completed,0,3.7
ORD-10015,2025-05-22,May,Q2,North,Lucknow,Arjun Malhotra,Accessories,Wireless Mouse,11,2070,22770,10230,12540,0.5507246376811594,New,Online,20500,1.1107317073170733,-0.07298017980008446,Completed,0.05,3.9
ORD-10016,2025-10-23,Oct,Q4,South,Bengaluru,Ananya Iyer,Office,Ergonomic Chair,13,12610,163930,98800,65130,0.3973037272006344,Existing,Online,177300,0.9245910885504794,0.032820442382129694,Completed,0.03,4.8
